the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E61000003A9016E313CA52C0411B6FE1AFFB4340,0101000020110F0000B4EF70A666EA5FC15A20E7C01D8B5241,375700,2017,201706000765.0,0411,2017-01-06,05:36:00,B,M,61,leg,N,N,N,1200 BLOCK Fairmount Ave,0,2695081.62845564,241248.80121897,6,0,1,0,39.96630495,-75.15746381
0101000020E6100000464F80172CCA52C0D0E6A3520DF64340,0101000020110F00008D1BACC38FEA5FC1C2FAA4B7DF845241,375701,2017,201703051858.0,0111,2017-09-19,15:13:00,B,M,19,chest,N,N,N,700 BLOCK Winton St,0,2695138.16771264,225206.6282509,3,1,0,1,39.92228158,-75.15894115
0101000020E61000002648B6046ACA52C037BBDECBB7FB4340,0101000020110F00007438F2F3F8EA5FC1AB517986268B5241,375702,2017,201709036917.0,0111,2017-09-07,20:01:00,W,M,38,face,N,N,N,1500 BLOCK Melon St,0,2693606.13895255,241293.5527699,9,0,1,1,39.96654652,-75.16272085
0101000020E6100000AB347392F7C852C07F5505D54CFA4340,0101000020110F000012BB68B683E85FC1DF0EB65794895241,375703,2017,201706042326.0,0411,2017-09-30,01:52:00,W,M,32,multi,N,N,N,300 BLOCK N Water St,0,2700060.24349839,237446.69760273,6,0,1,0,39.95546973,-75.1401106
0101000020E6100000691138AF3DC952C08CF57076A9FA4340,0101000020110F0000C40B33CEFAE85FC1982BCAF9FA895241,375704,2017,201706044668.0,0111,2017-10-14,07:26:00,B,M,38,head/back,N,N,N,400 BLOCK N 3rd St,0,2698830.70527506,238440.60539182,6,1,0,1,39.95829659,-75.14438992
0101000020E610000065360A41356554C0B44EA61B726B3C40,0101000020110F0000BBCA42A55F5261C14A0167B334314941,375705,2017,201709005520.0,0411,2017-02-12,07:25:00,B,M,61,chest,N,N,N,"1400 BLOCK W Poplar St  Apt  ""A""",0,711311.91490063,-3975202.88593952,9,1,0,0,28.4197099,-81.58137537
0101000020E6100000D61E931806CA52C027224FD4CAFB4340,0101000020110F0000524082394FEA5FC1048BD79D3B8B5241,375706,2017,201706047378.0,0411,2017-10-31,15:46:00,B,M,20,buttocks,N,N,N,1200 BLOCK Brown St,0,2695308.66966823,241555.18872955,6,0,1,0,39.96712736,-75.15662207
0101000020E6100000826962CB7CC952C05D3D405A10FB4340,0101000020110F00000576120166E95FC1F23523FB6C8A5241,375707,2017,201706052415.0,0411,2017-12-03,03:30:00,B,M,24,back,N,N,N,600 BLOCK Spring Garden St,0,2697717.65992898,239552.10349689,6,0,1,0,39.96143654,-75.14824185
0101000020E610000032235913CDC952C02F91246B01FA4340,0101000020110F0000CC93A65EEEE95FC1873AEBC940895241,375708,2017,201706025235.0,3010,2017-06-17,02:37:00,B,M,30,head/multi,N,N,N,700 BLOCK Arch St,0,2696433.25567363,236501.00822115,6,0,1,1,39.95316829,-75.15314182
0101000020E61000001645590927CA52C0D58E454730FB4340,0101000020110F0000558E6C2D87EA5FC11A93605B908A5241,375709,2017,201706056197.0,0111,2017-12-28,20:54:00,B,M,39,neck,N,N,N,1200 BLOCK BRANDYWINE ST APT 32,0,2694795.77863364,239821.24272239,6,1,0,1,39.96241084,-75.1586326
0101000020E610000039E1140CDDCB52C09307F90B83FC4340,0101000020110F00009BE1C12E6FED5FC1BF11F3C3078C5241,375710,2017,201709024879.0,0300,2017-06-21,12:00:00,W,M,62,leg,N,N,N,2900 BLOCK Ogden St,1,2687195.65078931,243367.01154947,9,0,1,0,39.97274923,-75.18536665
0101000020E61000006865353C01C552C0663F7BC3B7094440,0101000020110F000061AF5FC2C8E15FC1F49FF43EAD9A5241,375711,2017,201707011177.0,0411,2017-05-01,02:02:00,B,M,26,leg,N,N,N,8000 BLOCK Halstead St,0,2716081.33481573,281823.71317923,7,0,1,0,40.07592052,-75.07820039
0101000020E610000093940DCE54C352C09930B3328E094440,0101000020110F00009B66FD06F1DE5FC1900CAC1C7F9A5241,375712,2017,201707021349.0,0411,2017-08-12,12:35:00,W,F,58,multi,N,N,N,8500 BLOCK Summerdale Ave,1,2723409.87790139,281584.28780507,7,1,0,0,40.07465204,-75.05205108
0101000020E6100000D2572D3CB1C152C0EC9799E326054440,0101000020110F00003ED0815828DC5FC1BCBB133B9C955241,375713,2017,201708000359.0,0111,2017-01-03,22:09:00,B,M,38,head,N,N,N,8000 BLOCK Erdrick St 1st Fl,0,2730959.54292014,269277.84457022,8,1,0,1,40.0402493,-75.02644257
0101000020E61000001458426F18CA52C00A8A9B2ACAF54340,0101000020110F0000A61CE75F6EEA5FC10D07125995845241,375714,2017,201703034859.0,0111,2017-06-26,23:19:00,B,M,18,chest/back,N,N,N,2300 BLOCK S Marshall St,0,2695496.44816406,224470.24849007,3,0,1,1,39.92023213,-75.15774137
0101000020E6100000E667D94933BF52C0A2F2E9909F0C4440,0101000020110F00006EE5AFBAECD75FC1267E76F1E69D5241,375715,2017,201708001301.0,0411,2017-01-10,16:05:00,B,M,30,leg,N,N,N,100 BLOCK Thornwood Pl,0,2741191.43354556,290869.36109839,8,0,1,0,40.09861957,-74.9875054
0101000020E6100000ABA75ED025BF52C03DF0737443084440,0101000020110F0000782866D7D5D75FC1D4835D0C10995241,375716,2017,201708010841.0,0300,2017-03-26,01:41:00,W,M,19,foot,N,N,N,3800 BLOCK Morrell Ave,0,2741809.58257172,278474.74874856,8,0,1,0,40.06455856,-74.98668298
0101000020E61000000D6786A68FCF52C011280FC998F44340,0101000020110F0000FAA16615B7F35FC12A30E83143835241,375717,2017,201712001501.0,0411,2017-01-08,02:48:00,B,M,31,head,N,N,N,7400 BLOCK Buist Ave,0,2671648.61856322,220385.23303805,12,0,1,0,39.91091264,-75.24314273
